AK,Voting Rights Report Card:,Alaska,7,2
Grade,Grade for Selected Aspects Below:,B,7,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,Nonpartisan: named by partisan officials: 1CD,7,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$2000,7,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,7,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,69%,7,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,71%,7,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,67%,7,9
Access,Weekend Early Voting: State Minimum:,No rule,7,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,7,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,7,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,7,13
Access,VBM Review: Rejection Rate: 2018:,No signature checks,7,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,7,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count. Exclude small precincts ,7,16
Checking,Good Audit Sample to Check Computer Tallies?,5%,7,17
Checking,Audit All Contests? Number of Contests Checked:,All,7,18
Checking,Can Public Recount with Copies of Ballots?,No ballots or images,7,19
Checking,Total Score:,34.4,7,20
AL,Voting Rights Report Card:,Alabama,8,2
Grade,Grade for Selected Aspects Below:,C,8,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,8,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,no limit,8,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,8,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,63%,8,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,56%,8,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,89%,8,9
Access,Weekend Early Voting: State Minimum:,No rule,8,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,8,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,8,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,8,13
Access,VBM Review: Rejection Rate: 2018:,No signature checks,8,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,8,15
Checking,Hand Tally Audits to Check Computer Tallies?,No audit,8,16
Checking,Good Audit Sample to Check Computer Tallies?,0%,8,17
Checking,Audit All Contests? Number of Contests Checked:,,8,18
Checking,Can Public Recount with Copies of Ballots?,Unknown release policy,8,19
Checking,Total Score:,22.5,8,20
AR,Voting Rights Report Card:,Arkansas,9,2
Grade,Grade for Selected Aspects Below:,C,9,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,Partisan officials,9,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$8100,9,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,9,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,56%,9,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,53%,9,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,86%,9,9
Access,Weekend Early Voting: State Minimum:,No rule,9,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,9,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,9,12
Access,Good VBM List Tracks Address Changes & Deaths:,No,9,13
Access,VBM Review: Rejection Rate: 2018:,7.6%,9,14
Checking,Do Votes Have a Paper Trail? 2022:,bmd,9,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,9,16
Checking,Good Audit Sample to Check Computer Tallies?,Statistical. After results are final,9,17
Checking,Audit All Contests? Number of Contests Checked:,?,9,18
Checking,Can Public Recount with Copies of Ballots?,No ballots. Availability of images unknown,9,19
Checking,Total Score:,28.8,9,20
AZ,Voting Rights Report Card:,Arizona,10,2
Grade,Grade for Selected Aspects Below:,A,10,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,Yes,10,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$16485.55,10,5
Campaigns,Public Campaign $ for Gov+Legislature:,Both,10,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,66%,10,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,56%,10,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,72%,10,9
Access,Weekend Early Voting: State Minimum:,No rule,10,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,10,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,7,10,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,10,13
Access,VBM Review: Rejection Rate: 2018:,0.5%,10,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,10,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count. Exclude provisionals +counties where a party refuses,10,16
Checking,Good Audit Sample to Check Computer Tallies?,1%-2%,10,17
Checking,Audit All Contests? Number of Contests Checked:,5 random,10,18
Checking,Can Public Recount with Copies of Ballots?,No ballots or images,10,19
Checking,Total Score:,45.8,10,20
CA,Voting Rights Report Card:,California,11,2
Grade,Grade for Selected Aspects Below:,A,11,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,Yes,11,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$14100,11,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,11,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,68%,11,7
